Food_Item,Category,Calories,Protein,Carbs,Fat,Vegetarian,Vegan,Dosha_Vata,Dosha_Pitta,Dosha_Kapha,Food_Group,Fat_Adjusted
Ada Pradhaman,Kerala,278,7.2,3.0,9.7,Yes,No,neutral,neutral,increases,Others,
Akki Rotti,Karnataka,176,3.2,28.5,0.0,Yes,No,neutral,neutral,neutral,Grains,2.0
Aloo Paratha,Generic,147,0.7,36.2,0.0,Yes,No,neutral,neutral,neutral,Grains,8.0
Aloo Pitika,Generic,173,5.1,29.8,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Aloo Posto,Generic,147,5.4,32.5,3.7,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Aloo Tikki,Generic,131,0.6,14.7,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Amritsari Kulcha,Generic,135,0.4,26.1,3.7,Yes,No,neutral,neutral,neutral,Others,
Appam with Stew,Kerala,124,3.0,26.4,1.2,Yes,No,neutral,neutral,neutral,Others,
Apple,Generic,123,1.9,38.5,0.0,Yes,Yes,decreases,decreases,neutral,Fruits,0.3
Apricot,Generic,35,1.2,9.1,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Avial,Kerala,136,2.7,21.8,3.6,Yes,No,neutral,neutral,neutral,Others,
Avocado,Generic,30,0.7,34.3,0.0,Yes,Yes,decreases,decreases,increases,Others,
Axone (fermented soybean),Generic,124,4.0,17.4,0.0,Yes,Yes,neutral,neutral,neutral,Legumes/Pulses,1.0
Bagara Baingan,Generic,156,3.3,14.5,0.6,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Bajra Khichdi,Generic,145,3.1,25.4,1.4,Yes,No,decreases,neutral,neutral,Others,
Bajra Roti,Generic,32,1.5,25.3,2.8,Yes,No,neutral,neutral,neutral,Grains,1.5
Balushahi,Generic,173,5.0,22.6,0.0,Yes,No,neutral,neutral,neutral,Others,
Bamboo Shoot Curry,Generic,122,1.5,12.4,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Banana,Generic,79,0.3,3.0,0.9,Yes,Yes,decreases,neutral,increases,Fruits,0.3
Basmati Rice,Generic,131,4.5,31.9,0.7,Yes,No,decreases,neutral,neutral,Grains,0.5
Basundi,Generic,197,6.7,8.5,6.3,Yes,No,neutral,neutral,increases,Others,
Bathua Raita,Generic,80,1.5,45.9,0.0,Yes,No,neutral,neutral,neutral,Others,
Bebinca,Generic,87,4.1,17.3,2.3,Yes,No,neutral,neutral,increases,Others,
Bedmi Puri with Aloo Sabzi,Generic,127,0.4,13.4,1.2,Yes,No,increases,neutral,neutral,Vegetables,0.5
Berry Mix,Generic,156,2.5,14.5,1.4,Yes,Yes,decreases,neutral,neutral,Others,
Besan Masala Roti,Generic,100,4.6,39.7,2.6,Yes,No,neutral,neutral,neutral,Grains,1.5
Bhakri,Generic,113,0.4,5.5,2.5,Yes,No,neutral,neutral,neutral,Others,
Bhuna Maas,Generic,120,0.7,34.8,2.3,Yes,No,neutral,neutral,neutral,Others,
Bhutte Ka Kees,Madhya Pradesh,127,4.9,7.6,0.0,Yes,No,neutral,neutral,neutral,Others,
Bisi Bele Bath,Karnataka,122,5.1,17.7,1.9,Yes,No,neutral,neutral,neutral,Others,
Blueberry,Generic,50,1.6,11.7,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Bobbatlu,Generic,127,3.5,35.8,1.0,Yes,No,neutral,neutral,neutral,Others,
Brown Rice,Generic,155,3.8,35.7,0.7,Yes,No,decreases,neutral,neutral,Grains,0.5
Butter Chicken,Generic,230,21.7,0.9,3.8,No,No,neutral,neutral,increases,Dairy Products,81.0
